Disaster_Subgroup,Disaster_Type,Disaster_Subtype,ISO,Country,Subregion,Magnitude,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Total_Deaths,No_Injured,No_Affected,Total_Affected,Total_Damage_Adj,CPI
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,29905.0,2014,1,19.0,2014,1,22.0,11.0,21.0,25450.0,4000.0,2650.0,75.46845567806861
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,200.0,2014,7,18.0,2014,7,19.0,71.0,99.0,9960000.0,9960099.0,5608930.0,75.46845567806861
Meteorological,Storm,Blizzard/Winter storm,KGZ,Kyrgyzstan,Central Asia,144.0,2014,2,1.0,2014,2,7.0,12.0,52.0,40000.0,14400.0,97437.0,75.46845567806861
Meteorological,Storm,Lightning/Thunderstorms,CHN,China,Eastern Asia,144.0,2014,7,19.0,2014,7,20.0,5.0,52.0,25000.0,50000.0,363066.0,75.46845567806861
Meteorological,Storm,Lightning/Thunderstorms,CHN,China,Eastern Asia,144.0,2014,4,16.0,2014,4,20.0,3.0,52.0,100000.0,100000.0,206709.0,75.46845567806861
Meteorological,Storm,Storm (General),BGD,Bangladesh,Southern Asia,144.0,2014,4,27.0,2014,4,28.0,16.0,12.0,40000.0,4012.0,97437.0,75.46845567806861
Hydrological,Flood,Riverine flood,LKA,Sri Lanka,Southern Asia,29905.0,2014,6,4.0,2014,6,10.0,27.0,9.0,104000.0,104009.0,2650.0,75.46845567806861
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,29905.0,2014,6,1.0,2014,6,7.0,33.0,21.0,350000.0,720000.0,897064.0,75.46845567806861
Meteorological,Storm,Tropical cyclone,KOR,Republic of Korea,Eastern Asia,144.0,2014,8,3.0,2014,8,6.0,14.0,52.0,40000.0,14400.0,97437.0,75.46845567806861
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,130.0,2014,7,7.0,2014,7,10.0,7.0,66.0,600.0,666.0,206709.0,75.46845567806861
Hydrological,Flood,Flash flood,KHM,Cambodia,South-eastern Asia,29905.0,2014,7,30.0,2014,7,31.0,45.0,21.0,472500.0,530450.0,2650.0,75.46845567806861
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,29905.0,2014,7,16.0,2014,7,22.0,26.0,21.0,25450.0,20000.0,107022.0,75.46845567806861
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,61894.97,2014,9,24.0,2014,9,11.0,95.0,21.0,25450.0,650000.0,215984.0,75.46845567806861
Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,6.2,2014,11,22.0,2014,11,22.0,7.0,41.0,2466.0,2657.0,2650.0,75.46845567806861
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,144.0,2014,11,27.0,2014,11,28.0,12.0,52.0,4695.0,4695.0,97437.0,75.46845567806861
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,110.0,2014,10,6.0,2014,10,6.0,7.0,60.0,8706.0,8766.0,132506.0,75.46845567806861
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,29905.0,2014,8,16.0,2014,8,1.0,94.0,21.0,500000.0,500000.0,107022.0,75.46845567806861
Hydrological,Flood,Flash flood,PHL,Philippines,South-eastern Asia,29905.0,2014,8,30.0,2014,8,5.0,4.0,21.0,3770.0,3770.0,107022.0,75.46845567806861
Hydrological,Flood,Riverine flood,LKA,Sri Lanka,Southern Asia,29905.0,2014,12,1.0,2015,12,5.0,41.0,20.0,1100000.0,1100020.0,107022.0,75.46845567806861
Hydrological,Flood,Riverine flood,THA,Thailand,South-eastern Asia,29905.0,2014,12,13.0,2014,12,31.0,15.0,8.0,18880.0,18888.0,107022.0,75.46845567806861
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,29905.0,2014,5,12.0,2014,5,16.0,53.0,21.0,25450.0,20000.0,927540.0,75.46845567806861
Meteorological,Storm,Lightning/Thunderstorms,CHN,China,Eastern Asia,144.0,2014,8,10.0,2014,8,11.0,20.0,52.0,40000.0,14400.0,41077.0,75.46845567806861
Hydrological,Flood,Flood (General),PHL,Philippines,South-eastern Asia,29905.0,2014,8,25.0,2014,8,1.0,1.0,21.0,42175.0,42175.0,107022.0,75.46845567806861
Hydrological,Flood,Flood (General),BGD,Bangladesh,Southern Asia,29905.0,2014,9,,2014,9,,19.0,21.0,400000.0,400000.0,107022.0,75.46845567806861
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,144.0,2015,1,19.0,2015,1,19.0,2.0,52.0,21687.0,21687.0,1323.0,75.55797676894446
Hydrological,Flood,Riverine flood,TUR,Türkiye,Western Asia,29905.0,2015,1,30.0,2015,1,2.0,8.0,21.0,5000.0,6500.0,107022.0,75.55797676894446
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,5.1,2015,2,22.0,2015,2,22.0,7.0,89.0,8640.0,8640.0,19389.0,75.55797676894446
Meteorological,Storm,Severe weather,CHN,China,Eastern Asia,144.0,2015,4,19.0,2015,4,21.0,2.0,52.0,10000.0,10000.0,330872.0,75.55797676894446
